date,close
2006-06-01,3.57716
2006-07-01,3.59421
2006-08-01,3.74713
2006-09-01,3.92295
2006-10-01,4.13967
2006-11-01,4.27847
2006-12-01,4.24232
2007-01-01,4.33228
2007-02-01,4.13418
2007-03-01,4.22454
2007-04-01,4.58643
2007-05-01,4.86922
2007-06-01,4.69903
2007-07-01,4.36836
2007-08-01,4.41659
2007-09-01,4.7722
2007-10-01,4.87266
2007-11-01,4.45832
2007-12-01,4.17405
2008-01-01,3.63717
2008-02-01,3.44006
2008-03-01,3.34203
2008-04-01,3.65446
2008-05-01,3.74054
2008-06-01,3.14176
2008-07-01,3.06174
2008-08-01,3.13055
2008-09-01,2.52256
2008-10-01,1.64141
2008-11-01,1.36272
2008-12-01,1.35226
2009-01-01,1.12938
2009-02-01,0.891043
2009-03-01,1.025881
2009-04-01,1.23439
2009-05-01,1.37269
2009-06-01,1.36858
2009-07-01,1.56649
2009-08-01,1.68219
2009-09-01,1.80617
2009-10-01,1.7288
2009-11-01,1.94195
2009-12-01,2.013418
2010-01-01,1.86231
2010-02-01,1.97603
2010-03-01,2.22911
2010-04-01,2.29172
2010-05-01,1.92295
2010-06-01,1.7164
2010-07-01,1.9578
2010-08-01,1.77662
2010-09-01,2.1105
2010-10-01,2.27025
2010-11-01,2.26113
2010-12-01,2.57691
2011-01-01,2.68846
2011-02-01,2.87509
2011-03-01,2.87096
2011-04-01,3.035873
2011-05-01,2.96365
2011-06-01,2.85519
2011-07-01,2.73481
2011-08-01,2.38446
2011-09-01,2.057618
2011-10-01,2.50632
2011-11-01,2.4673
2011-12-01,2.51485
2012-01-01,2.74036
2012-02-01,2.97184
2012-03-01,3.17865
2012-04-01,3.12745
2012-05-01,2.77179
2012-06-01,2.97634
2012-07-01,3.051664
2012-08-01,3.19249
2012-09-01,3.35406
2012-10-01,3.2149
2012-11-01,3.24503
2012-12-01,3.31866
2013-01-01,3.6596
2013-02-01,3.73879
2013-03-01,4.016824
2013-04-01,4.17204
2013-05-01,4.36193
2013-06-01,4.22921
2013-07-01,4.6696
2013-08-01,4.38575
2013-09-01,4.67449
2013-10-01,5.098643
2013-11-01,5.39301
2013-12-01,5.67476
2014-01-01,5.2642
2014-02-01,5.74115
2014-03-01,5.83026
2014-04-01,5.90223
2014-05-01,6.16243
2014-06-01,6.42008
2014-07-01,6.23543
2014-08-01,6.72617
2014-09-01,6.53172
2014-10-01,6.81754
2014-11-01,7.19494
2014-12-01,7.14786
2015-01-01,6.70832
2015-02-01,7.47319
2015-03-01,7.22978
2015-04-01,7.36286
2015-05-01,7.53284
2015-06-01,7.23282
2015-07-01,7.53769
2015-08-01,6.5973
2015-09-01,6.2319
2015-10-01,7.31912
2015-11-01,7.36284
2015-12-01,7.10555
2016-01-01,6.36905
2016-02-01,6.32958
2016-03-01,7.23054
2016-04-01,7.27359
2016-05-01,7.50471
2016-06-01,7.52679
2016-07-01,8.0834
2016-08-01,8.091351
2016-09-01,8.075923
2016-10-01,7.77892
2016-11-01,8.34106
2016-12-01,8.68509
2017-01-01,8.98623
2017-02-01,9.69002
2017-03-01,9.69808
2017-04-01,9.87755
2017-05-01,10.12903
2017-06-01,10.24354
2017-07-01,10.64779
2017-08-01,10.681
2017-09-01,11.099333
2017-10-01,11.60187
2017-11-01,12.28338
2017-12-01,12.59203
2018-01-01,13.99818
2018-02-01,12.8682
2018-03-01,12.17214
2018-04-01,12.19638
2018-05-01,12.73413
2018-06-01,12.88478
2018-07-01,13.79826
2018-08-01,14.6469
2018-09-01,14.79159
2018-10-01,12.71878
2018-11-01,13.11896
2018-12-01,10.82669
2019-01-01,12.52966
2019-02-01,13.30767
2019-03-01,13.79167
2019-04-01,14.8559
2019-05-01,12.95808
2019-06-01,14.8147
2019-07-01,15.18739
2019-08-01,14.57368
2019-09-01,15.10156
2019-10-01,15.70586
2019-11-01,16.8157
2019-12-01,17.79713
2020-01-01,17.71926
2020-02-01,14.97961
2020-03-01,10.54196
2020-04-01,13.19671
2020-05-01,14.40493
2020-06-01,14.83059
2020-07-01,16.56407
2020-08-01,18.9307
2020-09-01,17.42251
2020-10-01,16.48581
2020-11-01,20.19702
2020-12-01,21.70386
2021-01-01,21.20492
2021-02-01,22.32635
2021-03-01,24.34152
2021-04-01,26.92294
2021-05-01,27.21558
2021-06-01,28.41486
2021-07-01,29.74108
2021-08-01,31.50302
2021-09-01,28.54706
2021-10-01,32.62351
2021-11-01,32.063627
2021-12-01,34.92377
2022-01-01,31.22309
2022-02-01,29.26181
2022-03-01,31.3477
2022-04-01,25.89614
2022-05-01,25.76235
2022-06-01,21.4527
2022-07-01,25.46135
2022-08-01,23.24919
2022-09-01,18.97776
2022-10-01,21.96394
2022-11-01,24.18565
2022-12-01,21.40647
2023-01-01,24.021477
2023-02-01,22.66822
2023-03-01,24.17558
2023-04-01,24.79683
2023-05-01,24.86907
2023-06-01,28.0041884
2023-07-01,29.709
2023-08-01,28.51467
