date,close
1999-03-01,46.80921
1999-04-01,47.92438
1999-05-01,46.4189
1999-06-01,51.40928
1999-07-01,50.48927
1999-08-01,53.24931
1999-09-01,53.69538
1999-10-01,58.65788
1999-11-01,65.57192
1999-12-01,81.51884
2000-01-01,80.013359
2000-02-01,95.23541
2000-03-01,97.68878
2000-04-01,84.52979
2000-05-01,74.15872
2000-06-01,83.35887
2000-07-01,79.79033
2000-08-01,90.66322
2000-09-01,79.17698
2000-10-01,72.89022
2000-11-01,56.19057
2000-12-01,52.078382
2001-01-01,57.36428
2001-02-01,42.33181
2001-03-01,34.92709
2001-04-01,41.17203
2001-05-01,39.9052
2001-06-01,40.77057
2001-07-01,37.25556
2001-08-01,32.67891
2001-09-01,25.85407
2001-10-01,30.24338
2001-11-01,35.37315
2001-12-01,34.71297
2002-01-01,34.35612
2002-02-01,30.13632
2002-03-01,32.17039
2002-04-01,28.30744
2002-05-01,26.79974
2002-06-01,23.28472
2002-07-01,21.27742
2002-08-01,20.95625
2002-09-01,18.48504
2002-10-01,21.90191
2002-11-01,24.72998
2002-12-01,21.74133
2003-01-01,21.80378
2003-02-01,22.44612
2003-03-01,22.52641
2003-04-01,24.48911
2003-05-01,26.5767
2003-06-01,26.71944
2003-07-01,28.36989
2003-08-01,29.78839
2003-09-01,28.92302
2003-10-01,31.38531
2003-11-01,31.56374
2003-12-01,32.52724
2004-01-01,33.071445
2004-02-01,32.62538
2004-03-01,31.97412
2004-04-01,31.019535
2004-05-01,32.60753
2004-06-01,33.66918
2004-07-01,31.12659
2004-08-01,30.35043
2004-09-01,31.34962
2004-10-01,32.91978
2004-11-01,34.90032
2004-12-01,35.61403
2005-01-01,33.36585
2005-02-01,33.20527
2005-03-01,32.62538
2005-04-01,31.20688
2005-05-01,33.9725
2005-06-01,32.81272
2005-07-01,35.31071
2005-08-01,34.77542
2005-09-01,35.20365
2005-10-01,34.67729
2005-11-01,36.79165
2005-12-01,36.051176
2006-01-01,37.46967
2006-02-01,36.66675
