date,close
2007-01-01,87.92983
2007-02-01,88.026636
2007-03-01,88.1557
2007-04-01,88.25251
2007-05-01,88.39772
2007-06-01,88.44612
2007-07-01,88.38965
2007-08-01,88.62359
2007-09-01,88.57519
2007-10-01,88.62359
2007-11-01,88.84139
2007-12-01,88.41385
2008-01-01,89.035006
2008-02-01,88.9624
2008-03-01,89.059205
2008-04-01,88.9624
2008-05-01,88.84139
2008-06-01,88.84139
2008-07-01,88.89786
2008-08-01,88.84139
2008-09-01,88.97854
2008-10-01,89.035006
2008-11-01,89.20441
2008-12-01,89.051137
2009-01-01,89.002737
2009-02-01,88.92207
2009-03-01,88.97047
2009-04-01,88.97854
2009-05-01,88.89786
2009-06-01,88.92207
2009-07-01,88.89786
2009-08-01,88.914
2009-09-01,88.8898
2009-10-01,88.914
2009-11-01,88.914
2009-12-01,88.8898
2010-01-01,88.914
2010-02-01,88.914
2010-03-01,88.89786
2010-04-01,88.8898
2010-05-01,88.89786
2010-06-01,88.92207
2010-07-01,88.89786
2010-08-01,88.914
2010-09-01,88.93013
2010-10-01,88.92207
2010-11-01,88.914
2010-12-01,88.93013
2011-01-01,88.914
2011-02-01,88.914
2011-03-01,88.92207
2011-04-01,88.97026
2011-05-01,88.96147
2011-06-01,88.9828
2011-07-01,88.92631
2011-08-01,88.96249
2011-09-01,88.97478
2011-10-01,88.9631
2011-11-01,88.95485
2011-12-01,88.97308
2012-01-01,88.95694
2012-02-01,88.94895
2012-03-01,88.94088
2012-04-01,88.94088
2012-05-01,88.9651
2012-06-01,88.95702
2012-07-01,88.95702
2012-08-01,88.97349
2012-09-01,88.96752
2012-10-01,88.95945
2012-11-01,88.96904
2012-12-01,89.002949
2013-01-01,88.97873
2013-02-01,88.97314
2013-03-01,88.98121
2013-04-01,88.99736
2013-05-01,88.98928
2013-06-01,88.97314
2013-07-01,88.99736
2013-08-01,88.99736
2013-09-01,89.0054295
2013-10-01,88.98928
2013-11-01,88.98928
2013-12-01,88.99863
2014-01-01,88.99056
2014-02-01,89.0067059
2014-03-01,89.014774
2014-04-01,89.014774
2014-05-01,89.014774
2014-06-01,89.014774
2014-07-01,89.0067059
2014-08-01,89.014774
2014-09-01,88.99907
2014-10-01,89.015214
2014-11-01,89.0071459
2014-12-01,88.99934
2015-01-01,89.0074124
2015-02-01,89.023555
2015-03-01,89.01548
2015-04-01,89.023555
2015-05-01,89.023555
2015-06-01,89.031629
2015-07-01,89.01548
2015-08-01,89.023555
2015-09-01,89.056031
2015-10-01,89.023738
2015-11-01,89.017571
2015-12-01,89.0022923
2016-01-01,89.066894
2016-02-01,89.10653
2016-03-01,89.13076
2016-04-01,89.17936
2016-05-01,89.17295
2016-06-01,89.28808
2016-07-01,89.26383
2016-08-01,89.26375
2016-09-01,89.32261
2016-10-01,89.35769
2016-11-01,89.32753
2016-12-01,89.36795
2017-01-01,89.41657
2017-02-01,89.49271
2017-03-01,89.46838
2017-04-01,89.50798
2017-05-01,89.51609
2017-06-01,89.58605
2017-07-01,89.67651
2017-08-01,89.73915
2017-09-01,89.80717
2017-10-01,89.84334
2017-11-01,89.96647
2017-12-01,89.96787
2018-01-01,90.08213
2018-02-01,90.17541
2018-03-01,90.24082
2018-04-01,90.42585
2018-05-01,90.46683
2018-06-01,90.60457
2018-07-01,90.72059
2018-08-01,90.88096
2018-09-01,91.15652
2018-10-01,91.16477
2018-11-01,91.33515
2018-12-01,91.51768
2019-01-01,91.7417
2019-02-01,92.068243
2019-03-01,92.093229
2019-04-01,92.44959
2019-05-01,92.49141
2019-06-01,92.88464
2019-07-01,92.85946
2019-08-01,93.069392
2019-09-01,93.36578
2019-10-01,93.45018
2019-11-01,93.51424
2019-12-01,93.67395
2020-01-01,93.81811
2020-02-01,94.15045
2020-03-01,94.41408
2020-04-01,94.51195
2020-05-01,94.40969
2020-06-01,94.42758
2020-07-01,94.42758
2020-08-01,94.42405
2020-09-01,94.43005
2020-10-01,94.43005
2020-11-01,94.54891
2020-12-01,94.4293
2021-01-01,94.42076
2021-02-01,94.42076
2021-03-01,94.41222
2021-04-01,94.41222
2021-05-01,94.41222
2021-06-01,94.39513
2021-07-01,94.39513
2021-08-01,94.37805
2021-09-01,94.37805
2021-10-01,94.35242
2021-11-01,94.3097
2021-12-01,94.33533
2022-01-01,94.25844
2022-02-01,94.22427
2022-03-01,94.19009
2022-04-01,94.16235
2022-05-01,94.22513
2022-06-01,94.22003
2022-07-01,94.23715
2022-08-01,94.35811
2022-09-01,94.38469
2022-10-01,94.53136
2022-11-01,95.10162
2022-12-01,95.21636
2023-01-01,95.5282
2023-02-01,96.057243
2023-03-01,96.29252
2023-04-01,96.93706
2023-05-01,96.90196
2023-06-01,97.36003
2023-07-01,97.73156
2023-08-01,98.1985
2023-09-01,98.58109
2023-10-01,99.022834
2023-11-01,99.96027
2023-12-01,99.9992
2024-01-01,100.39872
2024-02-01,101.2003
2024-03-01,101.20946
2024-04-01,102.012714
2024-05-01,102.049652
2024-06-01,102.90888
2024-07-01,102.94614
2024-08-01,103.45664
2024-09-01,104.35648
2024-10-01,104.29988
2024-11-01,104.68343
2024-12-01,105.10217
2025-01-01,105.48397
2025-02-01,106.15428
2025-03-01,106.16389
2025-04-01,106.89137
2025-05-01,106.87202
2025-06-01,107.59725
2025-07-01,107.58751
2025-08-01,108.04064
2025-09-01,108.78014
2025-10-01,108.78014
2025-11-01,109.45267
2025-12-01,109.50838
2026-01-01,109.79669
2026-02-01,110.39
2026-03-01,110.39
2026-04-01,110.080002
