date,close
2007-04-01,49.18995
2007-05-01,48.7208
2007-06-01,48.41818
2007-07-01,48.72682
2007-08-01,49.26846
2007-09-01,49.4105
2007-10-01,49.67814
2007-11-01,50.48038
2007-12-01,50.56992
2008-01-01,51.20384
2008-02-01,51.073106
2008-03-01,51.10524
2008-04-01,50.7718
2008-05-01,50.071455
2008-06-01,49.92718
2008-07-01,49.74385
2008-08-01,49.97992
2008-09-01,49.55321
2008-10-01,47.92152
2008-11-01,49.59908
2008-12-01,51.74843
2009-01-01,50.67375
2009-02-01,50.18883
2009-03-01,50.5558
2009-04-01,50.60823
2009-05-01,50.77205
2009-06-01,50.90966
2009-07-01,51.40113
2009-08-01,51.74843
2009-09-01,52.095738
2009-10-01,52.07608
2009-11-01,52.58721
2009-12-01,51.49942
2010-01-01,52.16127
2010-02-01,52.16782
2010-03-01,51.89915
2010-04-01,52.29233
2010-05-01,52.72482
2010-06-01,53.32769
2010-07-01,53.63567
2010-08-01,54.31718
2010-09-01,54.16646
2010-10-01,54.19267
2010-11-01,53.67499
2010-12-01,52.60031
2011-01-01,52.64618
2011-02-01,52.65274
2011-03-01,52.43649
2011-04-01,53.2035
2011-05-01,53.68323
2011-06-01,53.4777
2011-07-01,54.20251
2011-08-01,55.10118
2011-09-01,55.46716
2011-10-01,55.529
2011-11-01,55.63079
2011-12-01,56.0084401
2012-01-01,56.36377
2012-02-01,56.51775
2012-03-01,56.10009
2012-04-01,56.84692
2012-05-01,57.24658
2012-06-01,57.28434
2012-07-01,57.98981
2012-08-01,58.083105
2012-09-01,58.30714
2012-10-01,58.1291
2012-11-01,58.28566
2012-12-01,58.1799
2013-01-01,57.77832
2013-02-01,58.19595
2013-03-01,58.13339
2013-04-01,58.83596
2013-05-01,57.59186
2013-06-01,56.75935
2013-07-01,56.85759
2013-08-01,56.36929
2013-09-01,57.11866
2013-10-01,57.4859
2013-11-01,57.31625
2013-12-01,56.95101
2014-01-01,57.83319
2014-02-01,58.22749
2014-03-01,58.0060154
2014-04-01,58.59872
2014-05-01,59.086748
2014-06-01,59.25966
2014-07-01,58.97136
2014-08-01,59.64397
2014-09-01,59.41922
2014-10-01,59.73107
2014-11-01,60.34788
2014-12-01,60.26015
2015-01-01,61.70867
2015-02-01,61.020817
2015-03-01,61.23382
2015-04-01,61.15205
2015-05-01,60.73163
2015-06-01,60.17688
2015-07-01,60.58418
2015-08-01,60.4346
2015-09-01,61.046112
2015-10-01,60.9418
2015-11-01,60.82686
2015-12-01,60.59444
2016-01-01,61.32223
2016-02-01,61.96852
2016-03-01,62.39043
2016-04-01,62.64147
2016-05-01,62.63676
2016-06-01,64.026378
2016-07-01,64.28461
2016-08-01,64.083051
2016-09-01,64.15593
2016-10-01,63.55259
2016-11-01,62.038921
2016-12-01,62.092934
2017-01-01,62.20822
2017-02-01,62.71349
2017-03-01,62.56687
2017-04-01,63.19414
2017-05-01,63.51185
2017-06-01,63.54435
2017-07-01,63.80061
2017-08-01,64.34701
2017-09-01,64.044725
2017-10-01,64.02736
2017-11-01,64.090866
2017-12-01,64.30453
2018-01-01,63.50831
2018-02-01,62.98022
2018-03-01,63.28107
2018-04-01,62.88266
2018-05-01,63.16904
2018-06-01,63.14048
2018-07-01,63.11698
2018-08-01,63.53866
2018-09-01,63.33842
2018-10-01,62.64628
2018-11-01,63.044762
2018-12-01,64.22593
2019-01-01,64.93946
2019-02-01,65.030114
2019-03-01,66.13812
2019-04-01,66.28015
2019-05-01,67.32805
2019-06-01,68.32713
2019-07-01,68.26956
2019-08-01,70.15997
2019-09-01,69.91163
2019-10-01,69.97787
2019-11-01,69.94874
2019-12-01,69.8961
2020-01-01,71.27968
2020-02-01,72.61182
2020-03-01,71.43175
2020-04-01,73.54878
2020-05-01,73.89336
2020-06-01,74.5256
2020-07-01,75.47046
2020-08-01,74.75925
2020-09-01,74.81267
2020-10-01,74.26994
2020-11-01,75.29266
2020-12-01,75.28465
2021-01-01,74.63587
2021-02-01,73.59079
2021-03-01,72.5461
2021-04-01,73.17436
2021-05-01,73.28642
2021-06-01,74.05812
2021-07-01,74.80827
2021-08-01,74.66654
2021-09-01,74.022172
2021-10-01,73.96153
2021-11-01,74.2294
2021-12-01,73.88122
2022-01-01,72.35565
2022-02-01,71.64436
2022-03-01,69.5629
2022-04-01,66.79901
2022-05-01,67.35288
2022-06-01,66.36412
2022-07-01,67.81027
2022-08-01,65.91327
2022-09-01,63.15625
2022-10-01,62.42489
2022-11-01,64.85926
2022-12-01,64.19046
2023-01-01,66.31704
2023-02-01,64.69573
2023-03-01,66.27564
2023-04-01,66.82647
2023-05-01,65.8883
2023-06-01,65.74042
2023-07-01,65.66236
2023-08-01,65.22794
2023-09-01,63.61007
2023-10-01,62.64293
2023-11-01,65.67124
2023-12-01,67.81371
2024-01-01,67.70307
2024-02-01,66.96666
2024-03-01,67.34683
2024-04-01,65.9234
2024-05-01,66.82825
2024-06-01,67.62265
2024-07-01,69.0023199
2024-08-01,70.0032584
2024-09-01,71.13217
2024-10-01,69.18127
2024-11-01,69.91933
2024-12-01,68.74293
2025-01-01,69.15399
2025-02-01,70.85489
2025-03-01,70.65288
2025-04-01,71.16047
2025-05-01,70.4537
2025-06-01,71.75035
2025-07-01,71.33133
2025-08-01,72.15364
2025-09-01,73.1829
2025-10-01,73.38954
2025-11-01,74.062265
2025-12-01,73.60279
2026-01-01,73.76179
2026-02-01,75.17
2026-03-01,73.64
2026-04-01,73.42
